epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,1891.76,1.05259,0.63346,1.18032,0.87793,0.89474,0.94322,0.63233,1.24347,0.67362,1.59938,0.0015974,0.0015974,0.0015974
124,1907.01,1.02835,0.60322,1.1505,0.91701,0.94737,0.96599,0.66297,1.30864,0.62375,1.69926,0.0015941,0.0015941,0.0015941
125,1922.44,0.99889,0.59531,1.17446,0.85462,0.92821,0.93963,0.64231,1.3427,0.68332,1.75584,0.0015908,0.0015908,0.0015908
126,1937.77,1.04657,0.6032,1.16964,0.92818,0.92632,0.94007,0.66127,1.31686,0.60158,1.62946,0.0015875,0.0015875,0.0015875
127,1952.99,1.04938,0.61795,1.17717,0.93093,0.88421,0.94781,0.63091,1.37335,0.66316,1.67898,0.0015842,0.0015842,0.0015842
128,1968.26,1.06697,0.61315,1.18308,0.87707,0.97632,0.96195,0.63994,1.39778,0.60851,1.81122,0.0015809,0.0015809,0.0015809
129,1983.48,1.02462,0.61918,1.14248,0.87265,0.9377,0.94089,0.62508,1.28097,0.62537,1.65384,0.0015776,0.0015776,0.0015776
130,1998.73,1.00358,0.60308,1.13813,0.85774,0.95202,0.94403,0.6247,1.40669,0.74205,1.67324,0.0015743,0.0015743,0.0015743
131,2013.99,1.00358,0.58969,1.13879,0.9013,0.97895,0.95692,0.66265,1.24867,0.5733,1.59457,0.001571,0.001571,0.001571
132,2029.26,1.04181,0.6347,1.17367,0.8706,0.92073,0.94057,0.61131,1.55432,0.69837,1.85938,0.0015677,0.0015677,0.0015677
133,2044.51,1.03644,0.57813,1.16815,0.8665,0.93684,0.93942,0.64478,1.37055,0.63067,1.75782,0.0015644,0.0015644,0.0015644
134,2059.8,1.03445,0.59838,1.14678,0.89074,0.94404,0.94836,0.65008,1.19602,0.66315,1.4309,0.0015611,0.0015611,0.0015611
135,2075.18,1.02826,0.58954,1.1679,0.77155,0.87368,0.888,0.57528,1.38697,1.44704,1.74862,0.0015578,0.0015578,0.0015578
136,2090.47,1.00561,0.59345,1.16201,0.85689,0.94541,0.93941,0.63479,1.34412,0.62637,1.62499,0.0015545,0.0015545,0.0015545
137,2105.76,1.0219,0.61335,1.1491,0.80399,0.81053,0.85852,0.56187,1.56102,0.89354,1.88721,0.0015512,0.0015512,0.0015512
