epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
125,1938.48,1.01532,0.62922,1.02606,0.82485,0.94191,0.92863,0.62506,1.21454,0.74517,1.08129,0.0087724,0.0087724,0.0087724
126,1953.91,1.06759,0.63512,1.02176,0.88672,0.91579,0.91273,0.63824,1.16094,0.63648,1.08659,0.0087625,0.0087625,0.0087625
127,1969.27,1.01619,0.61305,1.0142,0.87156,0.94737,0.92173,0.65669,1.14579,0.61637,1.08471,0.0087526,0.0087526,0.0087526
128,1984.65,1.0503,0.64293,1.02781,0.87028,0.88421,0.9353,0.63828,1.26474,0.6515,1.11066,0.0087427,0.0087427,0.0087427
129,1999.99,1.03888,0.6566,1.01461,0.84165,0.93684,0.93206,0.63082,1.2624,0.70059,1.11726,0.0087328,0.0087328,0.0087328
130,2015.39,1.01086,0.61827,1.00797,0.87711,0.87368,0.91956,0.61034,1.29477,0.64958,1.11592,0.0087229,0.0087229,0.0087229
131,2030.71,1.02117,0.62162,1.01392,0.89867,0.93353,0.94503,0.64817,1.06712,0.5584,1.05253,0.008713,0.008713,0.008713
132,2046.02,1.04819,0.65867,1.02742,0.83899,0.92632,0.90287,0.59747,1.219,0.67206,1.12548,0.0087031,0.0087031,0.0087031
133,2061.36,1.04348,0.62059,1.03363,0.87059,0.88421,0.91816,0.62877,1.24446,0.69474,1.15629,0.0086932,0.0086932,0.0086932
134,2076.71,1.02398,0.61422,1.0156,0.88725,0.88421,0.93222,0.61616,1.32021,0.67605,1.18194,0.0086833,0.0086833,0.0086833
135,2092.15,1.04369,0.63182,1.04326,0.84099,0.89076,0.92357,0.59788,1.22312,0.91681,1.17967,0.0086734,0.0086734,0.0086734
136,2107.55,1.03168,0.63096,1.03608,0.85779,0.90526,0.93986,0.63438,1.3154,0.66238,1.18508,0.0086635,0.0086635,0.0086635
137,2122.91,1.02438,0.61899,1.0099,0.86089,0.90526,0.93617,0.63945,1.24358,0.63537,1.18446,0.0086536,0.0086536,0.0086536
138,2138.27,1.01851,0.64509,1.01556,0.85498,0.90526,0.93668,0.62215,1.24995,0.64409,1.10813,0.0086437,0.0086437,0.0086437
139,2153.7,1.01413,0.62021,1.01922,0.84008,0.94737,0.93405,0.62948,1.20583,0.65904,1.14688,0.0086338,0.0086338,0.0086338
140,2169.12,1.00556,0.62367,1.00679,0.8663,0.88668,0.91301,0.6132,1.33046,0.70568,1.1683,0.0086239,0.0086239,0.0086239
141,2184.54,1.02701,0.63498,1.03251,0.89313,0.84211,0.90811,0.59036,1.34065,0.81582,1.17833,0.008614,0.008614,0.008614
142,2199.84,1.00137,0.61278,1.01958,0.87987,0.92519,0.92625,0.64058,1.22763,0.67251,1.12379,0.0086041,0.0086041,0.0086041
143,2215.16,1.02241,0.61923,1.00398,0.90233,0.96842,0.97279,0.68261,1.17257,0.56668,1.09426,0.0085942,0.0085942,0.0085942
144,2230.54,1.03441,0.631,1.02148,0.89882,0.93514,0.92816,0.63605,1.23168,0.61173,1.14492,0.0085843,0.0085843,0.0085843
